,sum_sq,df,F,PR(>F),share
cls,15.149422905090583,10.0,324.73194353578094,5.981497082218746e-286,0.6130292185453113
lead,0.6571297745535506,11.0,12.805229982738956,9.770740104178559e-23,0.02659109556193428
cohort,0.19877340273428784,3.0,14.202537350215069,4.823275147437642e-09,0.008043468355804297
arch,8.639286706370731e-05,1.0,0.018518542788715085,0.8917871918250276,3.495931964917101e-06
cls:lead,4.638924952460318,110.0,9.0396909696077,6.081651197973215e-87,0.1877164929854528
Residual,4.068061992731983,872.0,,,0.16461622861953223
