cohort,model,auprc,n_pos,gap_vs_seresnet_12,gap_lo,gap_hi,auprc_seresnet_12,auprc_seresnet_I,auprc_seresnet_II,auprc_inceptiontime_12,auprc_inceptiontime_I,auprc_inceptiontime_II,auprc_gbm_12,auprc_gbm_I,auprc_gbm_II
chapman,RR(I),0.8784243169805753,267,0.07982236780308316,0.03358040018446777,0.127905506384542,0.9582466847836585,0.9277404893688369,0.960763363039044,0.943455341528281,0.8917087753768183,0.9014698004507155,0.9425449641973718,0.9177496467320314,0.9195804187946816
chapman,RR(II),0.8952923261556042,267,0.06295435862805432,0.01623908515699594,0.10640023318590759,0.9582466847836585,0.9277404893688369,0.960763363039044,0.943455341528281,0.8917087753768183,0.9014698004507155,0.9425449641973718,0.9177496467320314,0.9195804187946816
georgia,RR(I),0.4076256864580273,85,0.3490768504945938,0.2586333512012751,0.44223101796332837,0.7567025369526211,0.683365144196675,0.692547636155433,0.549640725656483,0.43149217161679526,0.6290965422893182,,,
georgia,RR(II),0.4228304753099051,85,0.33387206164271604,0.23552895324032203,0.42784851789479084,0.7567025369526211,0.683365144196675,0.692547636155433,0.549640725656483,0.43149217161679526,0.6290965422893182,,,
ptbxl_snomed,RR(I),0.7536992029453551,152,0.1719321626147594,0.10078123469817274,0.24074927551916264,0.9256313655601145,0.8840636292701366,0.923628697971056,0.8717735881278028,0.7307309754896739,0.8545275896705177,0.8927479242026004,0.9082492760545133,0.8954055164418699
ptbxl_snomed,RR(II),0.7169227236326621,152,0.20870864192745242,0.1384545957805493,0.2775516424748318,0.9256313655601145,0.8840636292701366,0.923628697971056,0.8717735881278028,0.7307309754896739,0.8545275896705177,0.8927479242026004,0.9082492760545133,0.8954055164418699
